          Dimensions           Particles         Metro-steps          StepLength                 WF1                 WF2              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                 100             1048576             0.55000             0.48506             1.00000           165.03342             0.20435             0.04176             0.50000                  13             0.48506             1.00000
                   3                 100             1048576             0.55000             0.48476             1.00000           165.02427             0.36751             0.13507             0.50000                  14             0.48476             1.00000
                   3                 100             1048576             0.55000             0.48449             1.00000           165.02421             0.24503             0.06004             0.50000                  15             0.48449             1.00000
                   3                 100             1048576             0.55000             0.48420             1.00000           165.02630             0.20485             0.04197             0.50000                  16             0.48420             1.00000
                   3                 100             1048576             0.55000             0.48398             1.00000           165.02024             0.18744             0.03513             0.50000                  17             0.48398             1.00000
                   3                 100             1048576             0.55000             0.48380             1.00000           165.02333             0.24746             0.06124             0.50000                  18             0.48380             1.00000
                   3                 100             1048576             0.55000             0.48365             1.00000           165.01768             0.35683             0.12733             0.50000                  19             0.48365             1.00000
                   3                 100             1048576             0.55000             0.48353             1.00000           165.02207             0.23338             0.05447             0.50000                  20             0.48353             1.00000
                   3                 100             1048576             0.55000             0.48338             1.00000           165.02818             0.23483             0.05515             0.50000                  21             0.48338             1.00000
                   3                 100             1048576             0.55000             0.48329             1.00000           165.02513             0.20801             0.04327             0.50000                  22             0.48329             1.00000
                   3                 100             1048576             0.55000             0.48319             1.00000           165.02661             0.19409             0.03767             0.50000                  23             0.48319             1.00000
                   3                 100             1048576             0.55000             0.48312             1.00000           165.01862             0.23052             0.05314             0.50000                  24             0.48312             1.00000
                   3                 100             1048576             0.55000             0.48304             1.00000           165.01776             0.20712             0.04290             0.50000                  25             0.48304             1.00000
                   3                 100             1048576             0.55000             0.48298             1.00000           165.02250             0.18775             0.03525             0.50000                  26             0.48298             1.00000
                   3                 100             1048576             0.55000             0.48294             1.00000           165.02690             0.21101             0.04453             0.50000                  27             0.48294             1.00000
                   3                 100             1048576             0.55000             0.48285             1.00000           165.02386             0.21577             0.04656             0.50000                  28             0.48285             1.00000
                   3                 100             1048576             0.55000             0.48280             1.00000           165.01413             0.20179             0.04072             0.50000                  29             0.48280             1.00000
                   3                 100             1048576             0.55000             0.48279             1.00000           165.03158             0.83431             0.69607             0.50000                  30             0.48279             1.00000
                   3                 100             1048576             0.55000             0.48278             1.00000           165.01869             0.34490             0.11895             0.50000                  31             0.48278             1.00000
                   3                 100             1048576             0.55000             0.48278             1.00000           165.02269             0.21912             0.04801             0.50000                  32             0.48278             1.00000
                   3                 100             1048576             0.55000             0.48278             1.00000           165.03035             0.19864             0.03946             0.50000                  33             0.48278             1.00000
                   3                 100             1048576             0.55000             0.48279             1.00000           165.01496             0.17671             0.03123             0.50000                  34             0.48279             1.00000
                   3                 100             1048576             0.55000             0.48274             1.00000           165.01864             0.20113             0.04045             0.50000                  35             0.48274             1.00000
                   3                 100             1048576             0.55000             0.48269             1.00000           165.02132             0.18806             0.03537             0.50000                  36             0.48269             1.00000
                   3                 100             1048576             0.55000             0.48273             1.00000           165.01079             0.47492             0.22555             0.50000                  37             0.48273             1.00000
                   3                 100             1048576             0.55000             0.48273             1.00000           165.01079             0.47492             0.22555             0.50000                  38             0.48273             1.00000
